OrderDate;Year;Month;YearMonth;Quarter;YearQtr;Week
12/8/2012;2012;Dec;dec-2012;Q4;2012-Q4;49
1/17/2011;2011;Jan;jan-2011;Q1;2011-Q1;3
12/22/2012;2012;Dec;dec-2012;Q4;2012-Q4;51
1/30/2011;2011;Jan;jan-2011;Q1;2011-Q1;4
8/17/2012;2012;Aug;aug-2012;Q3;2012-Q3;33
3/24/2013;2013;Mar;mrt-2013;Q1;2013-Q1;12
7/16/2012;2012;Jul;jul-2012;Q3;2012-Q3;29
5/22/2012;2012;May;mei-2012;Q2;2012-Q2;21
5/12/2012;2012;May;mei-2012;Q2;2012-Q2;19
7/4/2012;2012;Jul;jul-2012;Q3;2012-Q3;27
4/15/2011;2011;Apr;apr-2011;Q2;2011-Q2;15
3/24/2011;2011;Mar;mrt-2011;Q1;2011-Q1;12
3/31/2011;2011;Mar;mrt-2011;Q1;2011-Q1;13
3/6/2011;2011;Mar;mrt-2011;Q1;2011-Q1;9
1/11/2013;2013;Jan;jan-2013;Q1;2013-Q1;2
3/9/2011;2011;Mar;mrt-2011;Q1;2011-Q1;10
6/19/2013;2013;Jun;jun-2013;Q2;2013-Q2;25
3/5/2011;2011;Mar;mrt-2011;Q1;2011-Q1;9
3/18/2011;2011;Mar;mrt-2011;Q1;2011-Q1;11
5/27/2013;2013;May;mei-2013;Q2;2013-Q2;22
5/7/2013;2013;May;mei-2013;Q2;2013-Q2;19
3/15/2011;2011;Mar;mrt-2011;Q1;2011-Q1;11
12/1/2012;2012;Dec;dec-2012;Q4;2012-Q4;48
7/7/2012;2012;Jul;jul-2012;Q3;2012-Q3;27
7/23/2012;2012;Jul;jul-2012;Q3;2012-Q3;30
8/14/2012;2012;Aug;aug-2012;Q3;2012-Q3;33
8/31/2012;2012;Aug;aug-2012;Q3;2012-Q3;35
2/12/2011;2011;Feb;feb-2011;Q1;2011-Q1;6
2/27/2011;2011;Feb;feb-2011;Q1;2011-Q1;8
3/13/2013;2013;Mar;mrt-2013;Q1;2013-Q1;11
9/14/2012;2012;Sep;sep-2012;Q3;2012-Q3;37
1/27/2013;2013;Jan;jan-2013;Q1;2013-Q1;4
7/13/2012;2012;Jul;jul-2012;Q3;2012-Q3;28
4/23/2013;2013;Apr;apr-2013;Q2;2013-Q2;17
8/10/2012;2012;Aug;aug-2012;Q3;2012-Q3;32
10/12/2012;2012;Oct;okt-2012;Q4;2012-Q4;41
7/5/2012;2012;Jul;jul-2012;Q3;2012-Q3;27
2/8/2011;2011;Feb;feb-2011;Q1;2011-Q1;6
6/9/2013;2013;Jun;jun-2013;Q2;2013-Q2;23
7/9/2012;2012;Jul;jul-2012;Q3;2012-Q3;28
7/22/2012;2012;Jul;jul-2012;Q3;2012-Q3;29
7/26/2012;2012;Jul;jul-2012;Q3;2012-Q3;30
9/21/2012;2012;Sep;sep-2012;Q3;2012-Q3;38
8/2/2012;2012;Aug;aug-2012;Q3;2012-Q3;31
12/2/2012;2012;Dec;dec-2012;Q4;2012-Q4;48
1/3/2012;2012;Jan;jan-2012;Q1;2012-Q1;1
3/2/2012;2012;Mar;mrt-2012;Q1;2012-Q1;9
5/2/2012;2012;May;mei-2012;Q2;2012-Q2;18
2/2/2011;2011;Feb;feb-2011;Q1;2011-Q1;5
9/2/2012;2012;Sep;sep-2012;Q3;2012-Q3;35
3/2/2013;2013;Mar;mrt-2013;Q1;2013-Q1;9
1/2/2011;2011;Jan;jan-2011;Q1;2011-Q1;52
9/3/2011;2011;Sep;sep-2011;Q3;2011-Q3;35
8/3/2011;2011;Aug;aug-2011;Q3;2011-Q3;31
4/2/2012;2012;Apr;apr-2012;Q2;2012-Q2;14
10/2/2012;2012;Oct;okt-2012;Q4;2012-Q4;40
11/3/2011;2011;Nov;nov-2011;Q4;2011-Q4;44
3/3/2011;2011;Mar;mrt-2011;Q1;2011-Q1;9
5/3/2011;2011;May;mei-2011;Q2;2011-Q2;18
12/3/2011;2011;Dec;dec-2011;Q4;2011-Q4;48
6/2/2013;2013;Jun;jun-2013;Q2;2013-Q2;22
4/3/2011;2011;Apr;apr-2011;Q2;2011-Q2;13
7/3/2011;2011;Jul;jul-2011;Q3;2011-Q3;26
10/3/2011;2011;Oct;okt-2011;Q4;2011-Q4;40
